,Number-1,Number-2,Number-3,Number-4,Number-5,Number-6,Number-7,Sum
439597,3,9,11,18,23,26,30,120
439862,1,5,7,19,22,23,32,109
440437,4,14,15,18,21,29,33,134
440493,4,7,8,13,22,23,31,108
440532,4,9,17,18,24,25,29,126
440577,5,8,9,18,19,23,29,111
440654,1,9,15,16,25,29,32,127
440871,2,4,7,17,19,23,31,103
440898,4,5,15,19,24,29,35,131
440925,8,10,14,17,25,26,27,127
440937,2,6,10,17,25,26,31,117
441037,4,6,9,13,19,24,28,103
441115,2,6,11,12,21,24,25,101
441252,4,7,15,18,19,29,35,127
441331,2,4,17,19,21,25,27,115
441491,5,12,16,17,22,24,31,127
441764,1,8,10,20,23,29,33,124
442052,1,7,14,19,22,31,35,129
442196,2,7,10,17,25,29,35,125
442797,4,8,16,18,25,27,33,131
442888,1,9,16,20,21,24,30,121
443027,8,9,14,24,25,28,31,139
443074,6,10,11,16,19,27,29,118
443086,9,12,14,18,19,24,33,129
443124,5,9,11,13,22,26,33,119
443132,9,10,16,19,25,29,30,138
443205,1,6,8,20,23,27,33,118
443224,8,9,10,16,17,25,29,114
443741,1,4,11,13,17,27,28,101
444715,1,9,15,20,24,27,33,129
444858,1,5,7,20,21,27,34,115
444921,9,14,15,16,23,24,28,129
444935,3,5,9,11,26,32,35,121
445310,4,14,18,20,27,31,33,147
445423,5,8,11,13,26,27,30,120
445444,2,8,17,18,23,26,27,121
445679,7,9,11,20,24,26,28,125
445991,1,7,17,18,23,27,30,123
446040,1,14,16,18,23,26,29,127
446055,3,7,17,18,21,23,30,119
446125,3,7,17,20,23,28,29,127
446259,8,9,18,19,22,25,30,131
446592,2,8,11,12,17,25,27,102
447198,5,9,10,19,24,25,30,122
447439,1,5,7,20,25,26,28,112
447454,9,14,16,24,25,29,31,148
447475,3,4,18,20,21,24,27,117
447490,4,7,18,24,26,27,31,137
447817,1,7,15,16,24,25,29,117
447966,3,5,17,20,24,30,33,132
448289,5,7,8,11,24,27,31,113
448316,7,8,9,19,22,23,29,117
448442,1,9,14,20,24,27,29,124
448705,6,8,9,18,25,29,31,126
448757,3,4,17,18,21,23,32,118
448763,3,10,16,19,22,31,35,136
449082,4,5,8,16,27,29,33,122
449207,7,12,17,18,21,24,30,129
449212,4,5,8,18,25,30,31,121
449283,7,14,18,20,23,27,32,141
449429,2,6,9,17,22,25,31,112
449982,1,6,7,11,27,30,31,113
450086,6,8,11,13,17,24,27,106
450360,7,9,10,13,17,27,28,111
450843,6,7,14,20,23,27,35,132
450953,3,8,9,20,23,27,30,120
451095,9,12,14,17,25,29,31,137
451276,2,7,8,17,19,27,31,111
451334,3,9,10,14,25,29,32,122
451402,4,8,9,12,25,28,31,117
451531,5,6,11,18,19,23,27,109
451892,5,10,16,17,27,31,32,138
452154,1,5,7,16,22,27,29,107
452160,1,7,10,20,25,26,29,118
452189,1,3,9,13,17,26,34,103
452613,3,12,16,17,22,28,29,127
452616,7,8,9,11,17,25,34,111
452749,5,9,15,18,19,24,27,117
453023,1,4,8,18,21,23,27,102
453047,1,9,10,13,26,29,35,123
453444,7,9,11,17,26,30,31,131
454084,7,9,10,13,17,24,31,111
454128,1,5,9,17,25,28,34,119
454143,4,6,7,11,21,27,29,105
454145,1,6,16,19,22,23,33,120
454180,1,4,8,14,24,25,27,103
454198,2,8,11,18,23,27,28,117
454582,10,12,18,19,24,29,33,145
454600,1,4,17,20,24,25,30,121
454859,2,7,18,20,21,23,27,118
455094,5,9,15,16,21,28,29,123
455282,3,7,9,24,25,26,34,128
455317,1,8,9,13,19,24,28,102
455341,1,7,15,16,24,28,34,125
455782,3,9,14,20,27,31,32,136
456091,5,9,10,20,26,29,33,132
456105,1,10,17,20,23,26,30,127
456116,10,14,16,20,21,29,31,141
456314,1,4,9,13,21,27,28,103
456417,1,12,16,20,26,27,31,133
456501,2,9,16,20,21,29,35,132
456538,6,9,10,14,17,29,35,120
456694,4,6,7,11,21,25,27,101
457298,7,9,11,13,26,30,33,129
457564,5,7,9,11,21,26,32,111
457670,2,7,8,11,21,23,29,101
457782,2,5,16,18,21,24,25,111
457855,2,7,10,11,17,24,34,105
458116,2,4,11,19,21,24,25,106
458142,3,7,14,20,25,27,30,126
458236,8,9,18,20,26,29,33,143
458574,1,5,18,20,24,26,29,123
458685,7,8,11,12,17,27,31,113
458690,1,14,16,18,22,29,31,131
458793,1,4,10,11,27,31,35,119
459045,6,9,18,19,23,29,35,139
459141,1,7,16,20,22,32,33,131
459150,4,7,15,19,25,29,32,131
459267,6,14,15,18,24,27,33,137
459277,1,9,17,18,21,23,30,119
459373,2,4,7,20,25,26,29,113
459492,4,6,8,13,19,27,33,110
459522,4,8,16,20,23,29,33,133
459822,1,7,18,19,23,29,34,131
460127,1,7,8,16,23,24,27,106
460230,2,4,10,13,26,29,33,117
460297,6,14,17,18,27,30,33,145
460368,8,10,18,24,25,29,33,147
460461,4,14,18,19,22,29,35,141
460477,1,4,9,20,23,26,30,113
460539,6,12,18,19,29,31,33,148
460640,6,10,16,17,27,28,35,139
460839,4,10,14,20,27,31,33,139
460883,9,12,14,18,21,28,29,131
460919,2,10,14,16,29,31,33,135
461089,7,8,14,18,22,27,29,125
461093,4,7,8,19,27,28,33,126
461217,1,14,18,20,29,30,33,145
461329,2,3,11,17,25,29,34,121
461483,1,9,15,16,19,24,27,111
461708,3,7,9,11,26,30,31,117
461960,4,5,8,24,25,27,31,124
462207,5,7,11,14,22,23,30,112
462244,1,5,7,20,22,28,34,117
462278,3,8,9,12,25,29,31,117
462396,4,8,10,13,22,29,31,117
462559,2,5,11,18,22,26,31,115
462614,4,7,11,18,26,29,32,127
463002,5,14,15,18,24,26,29,131
463121,1,7,10,13,22,29,33,115
463615,4,10,17,20,23,27,29,130
463663,3,4,18,19,23,26,29,122
464027,6,14,16,17,21,25,27,126
464107,2,7,10,11,17,23,35,105
464298,4,8,11,20,23,24,29,119
464320,3,9,14,18,24,29,35,132
464346,7,9,10,13,26,28,29,122
464604,1,5,10,16,27,29,30,118
464794,4,9,10,13,19,31,33,119
464893,1,7,18,20,27,30,34,137
464918,1,3,9,11,24,25,28,101
464941,1,6,9,14,29,31,35,125
464973,4,8,10,20,23,25,27,117
465101,9,12,17,20,26,27,30,141
465256,5,9,14,16,22,29,33,128
465310,1,7,17,20,21,32,33,131
465508,3,8,10,16,22,29,33,121
466106,2,5,8,11,25,30,34,115
466188,9,14,17,18,25,28,31,142
466225,1,12,14,18,26,29,35,135
466437,7,9,11,18,19,25,28,117
466439,3,8,9,20,23,24,28,115
466559,1,3,18,24,29,30,33,138
466592,4,14,17,20,23,27,32,137
466746,3,6,9,13,17,24,34,106
466761,1,5,9,20,25,28,31,119
466794,9,12,18,19,22,25,29,134
466848,1,10,18,24,27,28,33,141
466901,2,7,8,11,26,29,30,113
467221,8,9,17,24,25,28,31,142
467276,3,12,17,18,22,26,29,127
467359,7,14,16,18,22,23,33,133
467424,1,4,17,18,21,25,31,117
467517,3,7,16,19,24,27,30,126
467632,1,4,14,18,21,27,35,120
467769,1,7,9,20,24,30,34,125
467804,1,7,17,24,26,27,30,132
467860,4,10,14,18,21,25,33,125
467918,1,4,18,19,25,29,31,127
468023,1,4,7,20,29,31,35,127
468178,1,4,10,16,23,24,27,105
468317,5,8,16,20,23,24,29,125
468681,3,9,14,18,22,24,33,123
468711,4,5,11,13,22,26,28,109
468785,1,3,9,13,22,29,34,111
469047,1,8,11,17,22,31,35,125
469255,1,3,7,16,22,26,34,109
469425,4,9,14,20,29,31,33,140
469458,1,5,11,13,22,26,33,111
469491,4,14,15,19,24,25,33,134
469703,2,4,11,17,21,24,35,114
469995,9,12,18,19,25,29,30,142
470108,1,5,9,16,24,26,32,113
470769,5,8,9,24,25,30,34,135
471503,2,6,11,18,21,27,35,120
471563,2,6,11,24,25,26,31,125
471648,5,12,15,20,25,26,29,132
471675,1,6,9,20,23,24,30,113
471871,1,7,11,17,22,31,34,123
471884,1,9,10,16,17,28,32,113
472030,8,10,15,16,22,25,29,125
472072,1,6,10,20,23,29,33,122
472104,1,6,9,16,23,25,29,109
472135,4,8,9,19,21,24,25,110
472400,4,7,14,20,29,31,35,140
472514,1,6,9,20,25,26,29,116
472678,8,14,16,24,27,29,31,149
472769,2,3,7,14,22,27,28,103
472827,8,9,11,18,24,27,31,128
472864,6,9,18,19,23,26,29,130
473307,1,3,7,20,25,30,35,121
473484,3,14,16,20,21,29,32,135
473558,1,7,10,17,22,25,29,111
473677,1,6,14,18,22,27,33,121
473794,1,9,11,13,19,26,28,107
473935,1,6,11,16,22,26,33,115
474010,3,7,16,17,22,31,33,129
474150,2,7,8,17,21,29,32,116
474234,1,7,14,20,22,31,35,130
474255,6,8,10,16,27,29,33,129
474723,5,7,11,18,26,27,35,129
474823,7,14,16,20,23,29,35,144
474870,4,8,15,20,23,25,29,124
475110,6,9,10,19,24,25,34,127
475185,9,14,15,18,24,28,29,137
475198,1,14,16,20,24,25,35,135
475246,4,6,17,18,21,23,28,117
475279,3,5,9,13,17,24,32,103
475333,2,4,8,16,23,29,31,113
475704,4,14,15,20,23,27,32,135
475754,3,7,18,24,26,29,35,142
475837,5,6,9,20,26,29,31,126
475935,3,7,16,18,21,24,25,114
475999,4,7,8,19,21,25,27,111
476093,4,8,11,16,27,28,33,127
476316,1,3,7,16,22,29,35,113
476335,3,4,7,20,21,26,29,110
476474,3,9,17,20,24,31,32,136
476479,4,7,8,17,22,23,27,108
476530,7,10,11,19,27,32,33,139
476643,1,10,15,16,19,29,35,125
476666,1,7,15,17,21,24,30,115
476731,1,12,14,16,22,23,33,121
476837,1,7,11,18,19,28,29,113
476864,3,6,16,20,25,26,29,125
477085,3,8,9,20,24,26,29,119
477173,4,7,10,14,21,27,30,113
477775,1,4,15,19,25,30,31,125
477777,9,12,14,18,22,23,35,133
477803,1,9,18,20,25,26,29,128
477823,4,7,10,14,19,27,30,111
477999,1,3,9,14,25,28,29,109
478103,1,5,8,20,26,29,34,123
478341,7,12,14,18,26,29,31,137
478408,6,7,14,18,19,24,29,117
478454,4,7,10,14,19,27,28,109
478521,1,3,7,20,23,25,28,107
478638,3,12,18,19,22,23,33,130
478671,2,6,7,17,23,26,29,110
479047,7,8,18,19,22,25,35,134
479113,7,10,11,14,21,27,32,122
479237,1,5,8,18,24,26,27,109
479298,6,8,17,18,27,29,33,138
479305,1,10,16,24,27,28,29,135
479536,7,8,9,11,17,27,30,109
479702,1,5,14,18,24,27,33,122
479834,8,9,15,20,21,27,31,131
480080,1,3,7,11,22,30,34,108
480189,1,12,15,16,22,25,31,122
480341,1,5,11,20,22,28,34,121
480546,2,7,11,16,21,23,29,109
480653,1,4,10,20,22,31,35,123
480683,4,6,15,19,25,29,30,128
480950,5,9,14,19,29,30,35,141
481115,2,7,15,19,24,25,35,127
481324,7,10,14,16,27,29,35,138
481474,5,7,9,17,24,28,30,120
481729,4,12,16,19,22,25,27,125
482146,5,6,8,11,22,25,29,106
482291,4,10,17,20,21,24,29,125
482317,1,5,7,20,22,25,32,112
483008,2,8,17,18,19,23,33,120
483515,6,9,16,20,21,26,31,129
483576,2,7,11,17,24,27,32,120
483603,3,7,9,12,24,26,29,110
483662,7,9,11,19,25,30,32,133
483697,7,9,18,20,24,26,29,133
483939,8,12,16,17,22,27,33,135
484042,1,7,11,20,22,27,30,118
484085,1,12,18,19,22,25,33,130
484279,3,6,7,20,21,29,35,121
484305,1,3,7,17,27,28,34,117
484325,1,3,7,11,22,28,32,104
484526,7,14,16,20,23,25,31,136
484606,1,7,14,24,27,28,33,134
484677,3,4,10,19,22,25,29,112
484683,5,9,10,16,21,24,31,116
484718,4,7,11,12,17,24,27,102
485159,4,6,15,17,25,27,31,125
485165,1,9,11,13,17,24,32,107
485194,7,10,11,17,22,27,28,122
485273,5,9,18,19,24,27,33,135
485370,1,6,9,20,24,29,35,124
485411,9,10,17,18,21,23,31,129
485448,3,9,14,18,19,24,28,115
485482,2,5,11,13,17,28,32,108
485541,3,7,8,12,22,28,31,111
485619,3,7,9,17,26,31,34,127
485630,2,3,7,19,22,23,29,105
486011,4,5,9,14,23,29,35,119
486137,4,7,10,14,17,26,27,105
486182,2,7,8,11,22,24,31,105
486196,3,4,8,14,27,32,35,123
486357,7,8,16,20,21,27,28,127
486458,4,8,17,20,25,28,31,133
486505,1,6,10,20,23,26,29,115
486667,9,10,18,19,21,24,28,129
487096,2,7,11,14,17,29,32,112
487115,2,9,11,17,24,25,29,117
487138,3,8,11,20,23,25,29,119
487267,3,9,11,13,22,26,35,119
487369,3,8,9,14,17,31,35,117
487432,3,6,9,20,22,26,31,117
487563,3,6,16,20,26,27,31,129
487650,5,12,16,17,21,24,27,122
487767,7,9,14,18,24,25,27,124
487781,5,6,18,20,26,29,33,137
487905,4,8,9,18,22,23,29,113
487939,4,6,15,19,27,29,35,135
488150,1,14,16,24,27,29,33,144
488555,1,5,11,20,25,31,34,127
489011,1,7,17,18,21,26,27,117
489256,7,8,9,11,22,26,28,111
489369,1,7,9,20,22,27,31,117
489446,2,3,11,12,21,25,31,105
489719,4,5,11,20,22,26,31,119
489808,6,7,17,20,26,29,30,135
489915,3,7,8,13,22,28,29,110
489927,5,9,15,16,24,26,30,125
489950,4,7,8,18,27,32,33,129
490101,5,9,11,19,25,26,28,123
490141,2,10,11,12,19,23,25,102
491233,1,5,7,14,22,28,31,108
491251,2,9,11,20,26,27,30,125
491668,1,9,18,24,25,30,34,141
491720,4,7,9,20,26,31,35,132
491751,2,8,11,17,25,28,32,123
491879,4,5,11,13,22,26,31,112
492007,4,12,14,16,21,27,35,129
492073,3,7,10,20,26,27,34,127
492166,2,4,17,18,22,23,25,111
492463,2,9,10,13,19,24,28,105
492534,2,10,16,19,27,29,33,136
492546,7,9,11,18,19,28,34,126
492793,1,4,7,11,22,30,34,109
492837,2,6,17,20,26,31,35,137
492876,2,3,17,18,21,27,33,121
492939,3,8,9,12,19,24,35,110
493009,4,8,14,20,23,25,27,121
493015,1,10,11,16,17,23,27,105
493065,2,10,11,13,17,28,33,114
493175,8,9,15,24,25,26,28,135
493312,2,7,11,17,22,25,28,112
493449,2,7,11,17,27,28,30,122
493708,6,9,16,17,19,23,31,121
494052,1,9,10,16,24,25,28,113
494176,5,9,11,18,21,31,34,129
494231,5,6,9,16,19,24,25,104
494499,6,7,11,20,26,31,34,135
494625,4,9,10,12,19,31,35,120
494669,2,8,9,18,25,28,29,119
494713,8,9,15,20,24,25,28,129
494760,7,8,11,13,22,24,27,112
494985,9,12,15,18,21,24,28,127
495020,1,9,16,18,22,24,33,123
495025,6,7,10,11,21,25,27,107
495212,3,9,16,17,21,27,30,123
495326,5,14,16,18,23,26,29,131
495540,4,6,17,20,21,27,31,126
495605,3,9,17,18,22,30,32,131
495718,7,9,10,16,19,29,33,123
495800,1,9,10,14,17,29,35,115
495803,1,4,7,17,22,26,31,108
495874,9,10,18,19,22,24,25,127
495914,8,9,14,20,21,24,25,121
495961,6,7,8,11,19,25,27,103
496084,2,6,8,11,21,25,30,103
496103,1,5,11,18,26,32,34,127
496155,5,9,11,16,17,27,34,119
496187,5,8,16,18,22,25,33,127
496240,1,3,7,14,17,27,32,101
496394,1,5,11,18,23,27,28,113
496753,1,5,10,16,24,27,29,112
497051,1,5,15,20,26,27,30,124
497308,6,7,11,17,27,30,34,132
497382,5,9,17,18,19,23,30,121
497565,3,9,15,18,19,29,32,125
497997,4,7,8,13,17,27,33,109
498090,7,8,10,18,24,29,33,129
498393,1,7,8,12,22,25,33,108
498422,4,8,15,16,23,29,33,128
498482,7,12,16,20,26,27,29,137
498633,1,7,9,24,27,31,32,131
498730,1,3,7,11,22,30,35,109
498885,8,9,16,17,22,23,27,122
498998,4,7,15,16,21,25,27,115
499043,4,8,15,19,25,29,33,133
499108,9,14,18,20,23,27,35,146
499316,4,8,10,18,21,23,27,111
499353,1,14,16,20,21,25,32,129
499379,4,5,9,14,23,25,31,111
499402,7,14,15,16,22,26,29,129
499490,2,12,17,20,26,29,33,139
499512,4,12,18,19,21,23,27,124
500234,4,5,10,20,21,25,29,114
500411,3,9,17,24,25,28,32,138
500653,7,9,18,19,22,24,31,130
500736,5,6,11,16,26,27,31,122
500806,5,9,11,17,22,32,35,131
500909,1,4,15,16,25,29,35,125
500926,3,7,14,24,27,31,33,139
501048,1,4,17,20,26,30,33,131
501154,3,5,11,20,24,26,29,118
501255,4,7,17,20,23,24,28,123
501407,3,7,8,24,27,28,33,130
501434,7,10,17,24,27,28,33,146
501793,7,8,11,14,17,27,34,118
501861,7,8,16,17,21,27,34,130
501889,6,8,9,12,29,31,35,130
502360,6,10,15,16,17,24,29,117
502465,4,7,9,13,17,24,35,109
502526,4,8,9,13,19,24,31,108
502760,4,7,8,14,27,28,29,117
502851,7,9,15,17,19,24,32,123
502930,3,6,7,16,22,26,27,107
502989,5,6,9,20,26,29,30,125
503287,2,4,14,18,21,27,35,121
503326,9,12,14,20,27,28,31,141
503546,1,4,18,20,21,25,27,116
503724,5,7,14,20,24,27,32,129
503838,1,14,18,19,25,29,33,139
503953,8,9,18,19,25,29,33,141
504108,2,6,16,17,22,23,31,117
504333,5,6,11,20,21,30,34,127
504347,2,9,17,18,21,23,28,118
504412,1,5,11,16,25,26,27,111
504516,8,9,14,24,25,31,35,146
504622,9,10,17,20,21,29,35,141
504799,8,9,14,17,22,25,29,124
504862,4,12,17,18,25,29,34,139
505006,1,8,18,19,23,29,33,131
505269,7,12,14,16,21,27,29,126
505386,1,7,16,20,21,29,33,127
505856,2,7,11,14,27,29,35,125
506014,7,9,14,17,24,30,34,135
506061,9,14,18,19,22,25,28,135
506196,5,14,15,18,24,25,33,134
506219,9,14,15,20,24,32,33,147
506355,4,7,11,17,22,27,28,116
506449,7,9,17,24,25,28,34,144
506509,3,4,17,18,24,31,35,132
506753,2,4,17,18,21,25,27,114
506893,5,9,11,18,21,27,32,123
507031,4,8,9,14,19,25,27,106
507348,1,8,11,18,22,24,33,117
507391,4,5,9,12,21,27,35,113
507445,7,8,11,13,26,27,34,126
507632,6,7,11,17,22,26,31,120
507715,6,8,17,20,26,31,35,143
507765,7,9,11,20,21,26,35,129
507836,4,12,17,18,23,27,35,136
507873,9,12,15,16,19,29,30,130
507883,2,6,16,18,21,23,29,115
508084,2,4,15,16,21,25,27,110
508260,6,9,11,13,24,26,30,119
508660,9,10,11,16,17,25,29,117
508665,2,3,18,20,26,29,33,131
508717,4,7,14,20,24,25,29,123
508862,5,8,17,18,21,26,32,127
509086,3,6,9,20,21,24,34,117
509973,2,4,16,19,27,31,33,132
510096,2,12,16,17,23,24,27,121
510458,2,8,11,20,21,25,34,121
510557,2,7,16,19,25,26,29,124
511035,2,4,9,13,17,29,35,109
511528,4,8,11,13,21,27,28,112
511670,3,10,11,16,22,26,35,123
511856,7,8,11,17,27,30,35,135
511926,7,9,14,18,23,29,32,132
512386,1,8,16,17,21,26,27,116
512400,6,7,16,17,23,27,31,127
512513,3,14,16,18,24,29,33,137
512567,7,9,15,19,24,30,31,135
512742,9,10,11,13,17,23,30,113
512743,4,12,18,19,22,23,33,131
512836,3,10,16,17,21,27,28,122
512911,5,9,11,14,24,25,29,117
512962,6,9,18,20,26,29,33,141
513096,1,4,14,18,22,27,33,119
513191,1,7,15,19,24,25,30,121
513357,1,5,11,13,22,26,31,109
513556,1,9,15,19,22,24,25,115
514373,5,9,14,20,23,29,35,135
514420,2,7,8,11,22,28,31,109
514578,6,7,16,19,22,26,27,123
514751,7,8,11,18,22,28,35,129
514835,5,9,16,17,21,27,32,127
514949,1,7,17,19,22,23,30,119
514985,3,6,7,19,24,25,27,111
515091,6,9,14,17,29,31,35,141
515126,3,6,7,17,26,27,33,119
515129,7,8,10,14,22,31,35,127
515526,3,9,16,19,23,29,30,129
515547,4,9,10,11,21,25,28,108
515715,2,4,7,19,21,25,31,109
515850,2,7,11,17,26,27,29,119
515851,3,7,16,18,19,24,27,114
515862,1,9,15,18,19,24,28,114
515962,1,5,15,16,23,29,32,121
516099,4,6,10,16,17,27,33,113
516268,4,12,15,19,22,25,31,128
516360,3,9,17,18,22,24,30,123
516417,7,10,11,20,26,29,34,137
516437,4,8,10,11,26,27,35,121
516447,5,14,18,24,25,26,29,141
516454,4,7,10,18,21,23,27,110
516464,1,7,15,19,22,30,34,128
516539,2,4,17,18,19,25,29,114
516656,1,5,16,20,22,27,35,126
516664,7,9,14,20,23,27,30,130
516734,2,4,10,11,21,25,35,108
516876,1,7,10,20,24,25,32,119
517012,9,10,14,16,21,24,31,125
517016,3,5,9,18,19,29,32,115
517122,1,6,16,19,22,26,31,121
517178,4,12,15,19,22,29,35,136
517521,7,10,15,20,26,27,31,136
517610,1,7,18,20,22,31,35,134
517615,9,14,18,19,22,23,28,133
517771,4,8,9,11,21,25,27,105
518071,4,9,11,19,23,25,32,123
518227,1,4,14,18,24,25,29,115
518251,4,7,17,18,21,24,25,116
518458,7,10,14,20,29,30,31,141
518480,1,7,17,18,22,25,35,125
518604,5,14,16,18,23,29,32,137
519162,8,12,15,16,21,26,29,127
519223,2,7,8,17,27,31,32,124
519287,4,5,18,20,21,24,25,117
519469,9,12,15,19,22,25,31,133
519489,6,9,11,16,19,23,29,113
519503,6,7,9,14,23,27,29,115
519681,1,4,18,19,25,28,32,127
520105,5,9,15,20,26,28,29,132
520162,5,9,18,24,25,26,33,140
520550,4,6,10,11,17,25,27,100
520559,2,9,14,20,27,30,31,133
520579,1,10,16,24,27,28,31,137
520589,1,5,7,14,22,25,31,105
520708,7,10,11,17,26,27,34,132
520927,1,4,8,16,27,30,33,119
520977,7,10,17,20,24,30,31,139
521189,7,8,15,24,27,30,31,142
522166,7,12,18,20,21,27,31,136
522291,3,9,10,20,21,25,27,115
522346,5,10,11,14,27,32,35,134
522838,1,14,15,20,27,31,33,141
522898,2,7,17,18,21,24,34,123
523387,5,7,17,20,21,27,34,131
523564,3,7,9,11,24,26,34,114
523675,2,8,9,13,17,27,30,106
523710,1,7,15,20,22,24,32,121
523779,2,3,10,11,21,25,31,103
523897,4,8,10,20,21,23,29,115
524085,7,9,17,20,24,30,32,139
524507,4,9,14,18,29,31,35,140
524550,8,9,14,18,23,29,35,136
524564,4,6,7,17,23,27,32,116
524567,1,7,15,18,19,28,29,117
524843,5,9,17,20,26,29,32,138
525174,3,7,9,11,19,28,34,111
525237,9,12,17,24,25,28,34,149
525436,8,9,15,19,22,25,29,127
525537,5,7,16,19,22,25,29,123
525657,2,7,11,16,22,26,29,113
525749,7,12,17,19,21,27,34,137
526028,1,5,16,18,24,31,34,129
526041,6,7,9,11,23,26,32,114
526080,4,9,17,18,21,26,27,122
526082,4,5,9,14,17,29,35,113
526094,5,7,11,16,17,27,34,117
526507,1,7,16,24,27,30,31,136
526510,1,4,7,12,23,27,31,105
526539,2,7,11,17,23,25,28,113
526856,1,5,11,20,22,24,25,108
526995,4,10,11,18,21,27,31,122
527108,4,12,18,19,29,32,33,147
527110,1,7,8,11,23,27,32,109
527142,7,9,17,18,24,25,28,128
527382,2,7,10,17,23,29,33,121
527413,1,7,14,18,22,32,35,129
527512,1,5,11,16,26,27,29,115
527518,7,9,14,24,25,28,34,141
527647,4,7,18,19,23,29,33,133
527772,1,7,17,18,23,26,30,122
527954,1,10,17,20,21,26,29,124
528151,5,8,9,19,24,25,28,118
528188,7,10,11,14,17,27,32,118
528205,7,10,14,18,24,25,31,129
528247,2,8,16,17,25,27,31,126
528542,1,4,7,11,22,28,33,106
528869,3,6,9,14,23,25,29,109
529027,5,9,17,18,22,24,30,125
529074,1,7,15,24,25,28,32,132
529247,4,7,14,24,27,31,33,140
529509,2,8,17,20,23,26,27,123
529943,2,7,18,24,26,27,31,135
529984,6,7,11,20,21,27,29,121
529993,7,10,11,18,19,25,31,121
530167,1,7,16,18,22,24,31,119
530323,2,10,16,17,21,24,25,115
530422,5,7,16,18,19,25,29,119
530493,6,8,9,19,25,29,35,131
530580,4,6,14,18,23,25,29,119
531399,4,12,14,18,27,31,35,141
531478,8,9,14,20,24,29,33,137
531649,4,14,18,19,25,29,30,139
531809,5,7,17,20,22,26,31,128
531905,1,7,8,11,22,23,30,102
532121,5,12,16,20,21,27,30,131
532158,2,8,9,20,25,29,31,124
532164,1,7,11,18,27,29,34,127
532239,5,8,11,18,23,27,29,121
532293,7,9,17,18,22,23,28,124
532441,7,9,17,20,23,24,27,127
532678,7,9,10,19,23,29,32,129
533173,2,9,17,20,21,23,31,123
533238,3,7,18,20,21,27,31,127
533357,6,9,17,18,29,31,35,145
533390,8,9,14,18,22,25,29,125
533566,2,6,10,11,17,27,35,108
533632,2,14,18,20,25,31,33,143
533698,1,7,10,20,24,25,35,122
533886,7,9,10,11,17,30,34,118
533896,4,9,10,14,21,25,27,110
533914,2,5,11,17,25,28,29,117
533947,5,8,11,20,22,24,35,125
534011,6,9,11,20,26,30,31,133
534208,1,10,16,18,22,23,25,115
534290,5,14,16,18,22,23,29,127
534346,5,14,16,20,24,27,35,141
534407,7,9,17,19,24,28,30,134
534512,2,7,17,18,23,24,27,118
534521,2,4,9,13,19,27,32,106
534560,1,14,15,18,21,29,33,131
534930,4,10,16,18,19,29,33,129
534943,9,12,16,17,23,27,31,135
534973,7,10,11,24,26,27,32,137
535033,7,9,11,14,24,26,32,123
535042,2,8,11,13,29,32,33,128
535208,7,8,14,18,19,28,29,123
535731,2,10,15,18,21,29,33,128
535799,3,4,9,11,21,25,34,107
535851,1,6,7,16,23,24,27,104
535892,8,9,17,18,21,29,35,137
535903,2,4,10,19,23,29,35,122
536346,5,9,16,19,22,28,29,128
536564,5,9,16,17,22,27,29,125
536846,1,7,14,18,27,29,35,131
536902,7,8,15,20,26,27,31,134
537085,1,5,7,20,21,26,29,109
537173,1,4,15,19,25,26,33,123
537759,3,4,14,18,24,27,35,125
538097,2,6,17,20,24,27,33,129
538188,8,9,10,20,26,31,35,139
538358,1,4,10,20,25,27,29,116
538557,7,9,10,16,17,27,31,117
538732,4,12,14,16,25,27,33,131
538748,4,8,9,20,27,28,33,129
538813,3,7,17,18,24,29,34,132
538898,1,5,7,11,27,28,34,113
539241,6,12,14,20,23,27,33,135
539247,2,3,16,19,23,28,29,120
539386,8,9,15,18,21,25,29,125
539405,5,10,16,19,22,25,29,126
539475,1,7,9,18,22,24,29,110
539537,1,7,9,14,23,24,28,106
539541,4,9,15,18,19,27,32,124
539704,1,4,9,13,21,28,34,110
539742,7,10,11,14,22,28,29,121
539888,2,8,9,13,17,29,31,109
540227,4,6,15,17,25,29,31,127
540784,2,6,16,17,23,27,31,122
540826,1,5,8,16,21,24,27,102
541221,4,6,15,19,24,25,28,121
541316,5,8,9,13,21,24,27,107
541599,7,8,17,19,23,24,27,125
541615,2,12,16,17,23,26,29,125
541663,1,7,10,13,22,26,27,106
541736,3,5,16,20,23,26,29,122
541745,2,7,8,14,25,29,35,120
541785,6,12,15,16,17,24,27,117
541899,2,8,14,17,25,29,33,128
542008,7,8,9,18,19,23,29,113
542152,6,8,9,14,25,29,31,122
542259,1,9,17,20,21,23,28,119
542434,1,7,11,14,21,27,34,115
542694,9,10,11,13,17,23,34,117
542903,3,7,8,13,22,24,35,112
543012,3,14,16,17,23,27,32,132
543040,1,7,10,14,27,29,34,122
543134,2,6,10,16,19,27,29,109
543278,1,4,8,13,19,27,29,101
543312,2,8,9,13,17,31,34,114
543580,7,8,11,13,22,27,34,122
543662,2,7,8,19,23,24,34,117
543684,9,14,17,20,27,31,32,150
544006,1,5,11,18,27,30,31,123
544563,6,7,18,19,23,29,31,133
544688,8,9,10,14,27,29,35,132
544718,7,8,11,20,22,28,31,127
544956,6,10,15,24,26,29,35,145
544978,7,8,9,20,21,27,31,123
544979,4,7,10,19,24,27,28,119
